kind,id,id_type,name,parent_id,parent_name,radius_km,H,R,G,B,always_include
planet,199,id,Mercury,10,Sun,2439.7,,169,169,169,True
planet,299,id,Venus,10,Sun,6051.8,,218,165,32,True
planet,399,id,Earth,10,Sun,6371.0,,70,130,180,True
planet,499,id,Mars,10,Sun,3389.5,,188,39,50,True
planet,599,id,Jupiter,10,Sun,69911.0,,210,180,140,True
planet,699,id,Saturn,10,Sun,58232.0,,222,205,155,True
planet,799,id,Uranus,10,Sun,25362.0,,175,238,238,True
planet,899,id,Neptune,10,Sun,24622.0,,70,89,169,True
planet,999,id,Pluto,10,Sun,1188.3,,222,208,178,True
moon,301,id,Moon,399,Earth,1737.4,,180,180,180,True
moon,401,id,Phobos,499,Mars,11.3,,170,170,170,True
moon,402,id,Deimos,499,Mars,6.2,,150,150,150,True
moon,501,id,Io,599,Jupiter,1821.6,,230,220,50,True
moon,502,id,Europa,599,Jupiter,1560.8,,200,180,170,True
moon,503,id,Ganymede,599,Jupiter,2634.1,,180,175,165,True
moon,504,id,Callisto,599,Jupiter,2410.3,,140,130,125,True
moon,505,id,Amalthea,599,Jupiter,83.5,,200,190,170,True
moon,506,id,Himalia,599,Jupiter,85.0,,190,190,190,True
moon,507,id,Elara,599,Jupiter,40.0,,185,185,185,True
moon,508,id,Pasiphae,599,Jupiter,30.0,,170,170,170,True
moon,509,id,Sinope,599,Jupiter,19.0,,165,165,165,True
moon,510,id,Lysithea,599,Jupiter,18.0,,190,190,190,True
moon,511,id,Carme,599,Jupiter,23.0,,180,180,180,True
moon,512,id,Ananke,599,Jupiter,14.0,,175,175,175,True
moon,513,id,Leda,599,Jupiter,10.0,,180,180,180,True
moon,514,id,Thebe,599,Jupiter,49.0,,200,195,180,True
moon,515,id,Adrastea,599,Jupiter,8.2,,200,195,180,True
moon,516,id,Metis,599,Jupiter,21.5,,200,195,180,True
moon,601,id,Mimas,699,Saturn,198.0,,200,200,200,True
moon,602,id,Enceladus,699,Saturn,252.1,,220,220,230,True
moon,603,id,Tethys,699,Saturn,531.1,,210,210,210,True
moon,604,id,Dione,699,Saturn,561.4,,210,210,210,True
moon,605,id,Rhea,699,Saturn,763.8,,200,190,180,True
moon,606,id,Titan,699,Saturn,2575.5,,210,160,60,True
